Model Type: Base Actor Critic
Window Size: 10
Target KL: 0.002
Max LR: .1
Min LR: 1e-6
Actor Layers: 3
Critic Layers: 3
Action Type: Discrete
Max Positions: 3
Shares To Buy: 1000


step avg_rew ev_before ev_after act_loss crit_loss kl_dist avg_ent
129 -1822.0500 0.0142  0.0157 -0.0117  171.2209 0.0107 0.8415
130 1122.1000 -0.1113  -0.1101 -0.0057  153.3626 0.0078 0.7715
131 -482.7400 0.1089  0.1096 -0.0048  165.2740 0.0007 0.7822
132 -1530.1200 0.0277  0.0292 -0.0133  172.8199 0.0055 0.8102
133 2006.8100 -0.1230  -0.1146 0.0093  149.6060 0.0045 0.6053
134 722.2800 0.0869  0.0861 -0.0066  157.2741 0.0132 0.7520
135 -273.2900 0.1800  0.1857 -0.0078  166.3210 0.0027 0.7459
136 -829.5500 -0.0417  -0.0413 -0.0112  163.4806 0.0015 0.8115
137 -872.6300 0.0386  0.0393 -0.0090  168.6334 0.0007 0.8026
138 -3142.9400 -0.0042  0.0018 -0.0159  179.9484 0.0019 0.8111
139 -1650.4300 0.0032  0.0097 0.0016  160.5158 0.0151 0.6420
140 615.3200 0.1317  0.1315 0.0023  152.6738 0.0009 0.6644
141 1898.3100 -0.0458  -0.0456 -0.0101  151.2942 0.0004 0.5804
142 771.6300 0.1076  0.1088 -0.0044  157.3825 0.0014 0.7413
143 -492.2800 0.0220  0.0250 -0.0052  174.2227 0.0020 0.8147
144 57.3000 -0.0563  -0.0543 -0.0054  164.8508 0.0008 0.7829
145 775.7300 0.0360  0.0373 -0.0036  185.0102 0.0112 0.7452
146 -936.8500 -0.0302  -0.0290 -0.0093  169.2894 0.0002 0.6509
147 -37.6900 -0.1025  -0.1007 -0.0063  159.5368 0.0016 0.6562
148 1915.2100 -0.0094  -0.0061 -0.0021  178.0158 0.0028 0.5018
149 1005.3600 -0.0107  -0.0116 0.0051  145.1985 0.0051 0.5785
150 1078.1000 -0.0153  -0.0153 -0.0084  152.5169 0.0098 0.6800
151 -2423.3100 0.0073  0.0125 0.0023  182.5477 0.0003 0.7047
152 -440.6400 -0.0302  -0.0296 -0.0077  155.0684 0.0003 0.6236
153 -943.4600 -0.0484  -0.0479 -0.0094  185.1408 0.0013 0.5805
154 -611.4100 0.0306  0.0309 -0.0062  183.8202 0.0043 0.5534
155 -22261.1600 0.0363  0.0283 -0.0094  203.4735 0.8718 1.0065
156 540.3300 -0.0333  -0.0234 0.0130  150.7116 0.0082 0.6690
157 -1029.8500 -0.0445  -0.0424 -0.0028  172.0157 0.0029 0.6882
158 -1459.1200 0.0253  0.0284 -0.0123  186.0397 0.0023 0.6854
159 1477.8000 0.0074  0.0066 0.0151  130.5630 0.0057 0.4703
160 -780.9300 -0.0454  -0.0449 -0.0027  153.5980 0.0003 0.7561
161 1775.6400 0.0415  0.0480 0.0094  148.0227 0.0044 0.5696
162 -4525.7000 -0.1265  -0.1258 -0.0214  160.4783 0.0012 0.8198
163 -1233.3900 0.0616  0.0643 -0.0235  171.3316 0.0029 0.7809
164 1594.6500 0.0534  0.0598 0.0226  157.8707 0.0041 0.6418
165 1815.2300 -0.0660  -0.0669 -0.0073  131.7208 0.0121 0.7117
166 1054.9600 0.0159  0.0162 -0.0048  149.5310 0.0080 0.7288
167 -546.6300 -0.0110  -0.0107 -0.0012  172.8210 0.0006 0.7568
168 -527.8400 0.1097  0.1120 -0.0025  189.5337 0.0008 0.7191
169 1849.7200 -0.0312  -0.0251 0.0024  146.7582 0.0002 0.6704
170 2430.4000 -0.0257  -0.0252 0.0028  134.2653 0.0040 0.6279
171 926.6100 -0.0058  -0.0048 -0.0020  164.1724 0.0009 0.7164
172 2584.4000 0.0930  0.1002 0.0045  153.6703 0.0019 0.6604
173 2763.0500 0.0463  0.0527 0.0130  126.1791 0.0064 0.6348
174 -318.3100 -0.0793  -0.0779 -0.0011  170.0629 0.0014 0.7540
175 491.2900 -0.0503  -0.0481 -0.0004  139.1928 0.0007 0.7085
176 1284.9300 0.0664  0.0682 0.0107  144.7006 0.0005 0.6283
177 170.7400 -0.0781  -0.0721 -0.0059  154.3585 0.0028 0.7464
178 -825.3500 -0.0771  -0.0762 -0.0074  159.6347 0.0026 0.7405
179 825.4700 -0.1041  -0.1025 0.0009  172.5571 0.0042 0.6171
180 -2451.7900 -0.0398  -0.0349 -0.0080  182.6138 0.0004 0.7395
