Wall time,Step,Value
1536572223.274457,2345,-1201.6800537109375
1536572269.6377718,2354,-480.1199951171875
1536572349.7631927,2371,0.0
1536572432.7082992,2389,576.6500244140625
1536572437.3181841,2390,-124.61000061035156
1536572446.4517107,2392,948.719970703125
1536572496.1284518,2402,0.0
1536572514.5154724,2406,-1235.52001953125
1536572604.1915395,2425,521.5800170898438
1536572656.990156,2436,0.0
1536572695.1865985,2444,0.0
1536572723.699189,2450,0.0
1536572732.5038326,2451,5530.06982421875
1536572742.0859208,2453,0.0
1536572751.7486353,2455,0.0
1536572775.5687351,2460,-642.1599731445312
1536572891.0058143,2485,1843.7900390625
1536572895.3619905,2486,2080.14990234375
1536572939.0084383,2496,2774.760009765625
1536572947.692576,2498,3268.3701171875
1536572973.702263,2503,1381.8900146484375
1536573034.6813018,2517,-3228.840087890625
1536573060.9615164,2523,641.280029296875
1536573091.7156467,2530,2206.739990234375
1536573100.4578989,2532,347.3599853515625
1536573109.1879199,2534,-31.440000534057617
1536573165.8861036,2547,-1824.9300537109375
1536573187.2140567,2551,1228.199951171875
1536573195.9621298,2553,2479.139892578125
1536573252.8557906,2566,-3727.10009765625
1536573305.240667,2578,2227.5
1536573357.4431813,2590,0.0
1536573361.7831159,2591,1169.9000244140625
1536573366.0837786,2592,0.0
1536573400.9769907,2600,0.0
1536573431.1467383,2606,0.0
1536573505.452834,2623,-68.52999877929688
1536573531.6643407,2629,1652.22998046875
1536573535.9804924,2630,2117.510009765625
1536573571.0708337,2638,0.0
1536573597.364213,2644,-2097.080078125
1536573623.473687,2650,3612.4599609375
1536573649.0713515,2655,0.0
1536573749.4983442,2678,0.0
1536573758.1444187,2680,0.0
1536573780.0144882,2685,4815.240234375
1536573801.7839804,2690,0.0
1536573863.0171967,2703,0.0
1536573893.8781307,2710,2574.0
1536573959.9447975,2725,0.0
1536574012.6578708,2737,-818.5700073242188
1536574025.7838123,2740,0.0
1536574091.3718965,2754,-642.2899780273438
1536574095.7715666,2755,3462.300048828125
1536574104.5512362,2757,-237.2100067138672
1536574245.0390947,2789,-495.75
1536574249.4312465,2790,0.0
1536574253.8292131,2791,0.0
1536574284.610233,2798,1409.6600341796875
1536574337.3871796,2809,0.0
1536574403.4627268,2824,-647.8400268554688
1536574416.6941621,2827,3826.3798828125
1536574425.515954,2829,1721.6199951171875
1536574429.8691823,2830,0.0
1536574561.7838812,2859,-1575.5699462890625
1536574615.4961522,2871,5776.60009765625
1536574619.829753,2872,-155.55999755859375
1536574659.3705044,2881,-2263.93994140625
1536574685.6580813,2887,749.6500244140625
1536574698.9577456,2890,3042.06005859375
1536574725.3541822,2896,3137.06005859375
1536574742.790022,2900,-2441.5400390625
1536574822.5362895,2917,6103.89990234375
1536574831.2721734,2919,0.0
1536574835.6977892,2920,-929.5800170898438
1536574840.1116416,2921,464.6499938964844
1536574888.1249475,2932,1789.050048828125
1536574966.3741946,2950,0.0
1536575044.308563,2967,0.0
1536575074.8902295,2974,0.0
1536575079.2247872,2975,937.8400268554688
1536575092.180513,2978,-2073.199951171875
1536575179.4630811,2998,0.0
1536575205.9389539,3003,463.1600036621094
1536575214.6370418,3005,2455.679931640625
1536575223.3481166,3007,1428.2900390625
1536575232.156092,3009,0.0
1536575240.7892468,3011,3083.64990234375
1536575258.0195916,3015,0.0
1536575262.2962098,3016,0.0
1536575309.6406996,3027,5972.31982421875
1536575322.6114178,3030,1910.52001953125
1536575357.4427276,3038,-186.94000244140625
1536575370.4653852,3041,0.0
1536575409.7391436,3050,-614.8900146484375
1536575480.3707738,3065,0.0
1536575497.846867,3069,3865.8798828125
1536575506.5869117,3071,-1129.2099609375
1536575572.2456381,3086,0.0
1536575631.2861435,3099,1754.8199462890625
1536575736.9358928,3122,2507.97998046875
1536575802.497717,3137,-367.010009765625
1536575806.8512576,3138,23.219999313354492
1536575837.5537982,3145,279.8500061035156
1536575859.5872223,3150,2073.080078125
1536575885.9182441,3155,-2589.89990234375
1536575903.504225,3159,-1826.8299560546875
1536575912.36215,3161,-828.0
1536575983.0147574,3177,0.0
1536576034.923571,3188,0.0
1536576067.26743,3195,5932.31005859375
1536576071.8527331,3196,685.8599853515625
1536576110.109533,3203,908.8900146484375
1536576123.3199983,3206,0.0
1536576228.8788402,3230,3690.139892578125
1536576242.2461448,3233,-3570.219970703125
1536576273.2493782,3240,6.849999904632568
